Area_of_Cytoplasm,Label,Number_of_pbodies_cytoplasm,Number_of_pbodies_in_Nucleus,Number_of_pbodies_unshrunken_Nucleus,Number_of_pbodies_unshrunken_cytoplasm,SiteX,SiteY,Well
54289.0,27,17.0,0.0,0.0,17.0,0.0,0.0,C05
57163.0,28,13.0,1.0,1.0,13.0,0.0,0.0,C05
96966.0,14,21.0,1.0,1.0,21.0,0.0,0.0,C05
81982.0,35,10.0,0.0,0.0,10.0,0.0,0.0,C05
53229.0,9,11.0,0.0,0.0,11.0,0.0,0.0,C05
48701.0,12,10.0,1.0,1.0,10.0,0.0,0.0,C05
39019.0,31,8.0,1.0,1.0,8.0,0.0,0.0,C05
45829.0,32,5.0,0.0,0.0,5.0,0.0,0.0,C05
48002.0,15,7.0,1.0,3.0,5.0,0.0,0.0,C05
104304.0,13,17.0,0.0,1.0,16.0,0.0,0.0,C05
14908.0,21,0.0,0.0,0.0,0.0,0.0,0.0,C05
16513.0,11,0.0,0.0,0.0,0.0,0.0,0.0,C05
60571.0,36,7.0,0.0,0.0,7.0,0.0,0.0,C05
24925.0,10,5.0,0.0,0.0,5.0,0.0,0.0,C05
34531.0,33,5.0,0.0,0.0,5.0,0.0,0.0,C05
38860.0,17,16.0,3.0,4.0,15.0,0.0,0.0,C05
68688.0,8,17.0,0.0,0.0,17.0,0.0,0.0,C05
98406.0,19,24.0,0.0,1.0,23.0,0.0,0.0,C05
48207.0,20,14.0,0.0,2.0,12.0,0.0,0.0,C05
44294.0,37,12.0,1.0,2.0,11.0,0.0,0.0,C05
81250.0,29,6.0,0.0,0.0,6.0,0.0,0.0,C05
77582.0,24,16.0,2.0,2.0,16.0,0.0,0.0,C05
46258.0,22,10.0,1.0,2.0,9.0,0.0,1.0,C05
39103.0,35,10.0,0.0,1.0,9.0,0.0,1.0,C05
44628.0,28,13.0,0.0,1.0,12.0,0.0,1.0,C05
45329.0,6,11.0,0.0,0.0,11.0,0.0,1.0,C05
74728.0,19,21.0,0.0,1.0,20.0,0.0,1.0,C05
43297.0,17,12.0,0.0,1.0,11.0,0.0,1.0,C05
38330.0,13,15.0,3.0,5.0,13.0,0.0,1.0,C05
35476.0,16,10.0,0.0,0.0,10.0,0.0,1.0,C05
17416.0,25,3.0,0.0,0.0,3.0,0.0,1.0,C05
35809.0,7,2.0,0.0,0.0,2.0,0.0,1.0,C05
58157.0,9,13.0,2.0,4.0,11.0,0.0,1.0,C05
83219.0,12,20.0,3.0,7.0,16.0,0.0,1.0,C05
54967.0,30,24.0,0.0,0.0,24.0,0.0,1.0,C05
27379.0,21,10.0,0.0,0.0,10.0,0.0,1.0,C05
34505.0,29,7.0,2.0,3.0,6.0,0.0,1.0,C05
41366.0,36,10.0,1.0,2.0,9.0,0.0,1.0,C05
19950.0,24,10.0,2.0,3.0,9.0,0.0,1.0,C05
19346.0,27,3.0,1.0,1.0,3.0,0.0,1.0,C05
46686.0,32,12.0,2.0,2.0,12.0,0.0,1.0,C05
59260.0,33,15.0,0.0,0.0,15.0,0.0,1.0,C05
46753.0,8,9.0,1.0,1.0,9.0,0.0,1.0,C05
38910.0,14,16.0,0.0,3.0,13.0,0.0,1.0,C05
29100.0,26,11.0,0.0,1.0,10.0,0.0,1.0,C05
54129.0,17,6.0,0.0,0.0,6.0,0.0,2.0,C05
35838.0,25,9.0,0.0,0.0,9.0,0.0,2.0,C05
54791.0,20,6.0,1.0,1.0,6.0,0.0,2.0,C05
35569.0,28,1.0,0.0,0.0,1.0,0.0,2.0,C05
57509.0,21,11.0,0.0,0.0,11.0,0.0,2.0,C05
33218.0,23,3.0,0.0,0.0,3.0,0.0,2.0,C05
42739.0,15,8.0,0.0,1.0,7.0,0.0,2.0,C05
65693.0,29,14.0,1.0,1.0,14.0,0.0,2.0,C05
50706.0,26,14.0,1.0,4.0,11.0,0.0,2.0,C05
27443.0,32,9.0,0.0,1.0,8.0,0.0,2.0,C05
43928.0,12,12.0,0.0,0.0,12.0,0.0,2.0,C05
73901.0,19,10.0,0.0,0.0,10.0,0.0,2.0,C05
46377.0,11,5.0,0.0,1.0,4.0,0.0,2.0,C05
72001.0,24,20.0,1.0,1.0,20.0,0.0,2.0,C05
42115.0,18,9.0,0.0,0.0,9.0,0.0,2.0,C05
30193.0,34,3.0,1.0,1.0,3.0,0.0,2.0,C05
61235.0,9,23.0,0.0,0.0,23.0,0.0,2.0,C05
72249.0,10,23.0,1.0,1.0,23.0,0.0,2.0,C05
77146.0,22,15.0,1.0,1.0,15.0,0.0,2.0,C05
44541.0,30,4.0,0.0,0.0,4.0,0.0,2.0,C05
19990.0,12,9.0,0.0,2.0,7.0,0.0,3.0,C05
26269.0,42,5.0,1.0,1.0,5.0,0.0,3.0,C05
30373.0,53,7.0,1.0,1.0,7.0,0.0,3.0,C05
16778.0,28,10.0,3.0,3.0,10.0,0.0,3.0,C05
31359.0,49,3.0,1.0,1.0,3.0,0.0,3.0,C05
50939.0,25,14.0,0.0,0.0,14.0,0.0,3.0,C05
42514.0,9,10.0,1.0,1.0,10.0,0.0,3.0,C05
48407.0,21,18.0,0.0,0.0,18.0,0.0,3.0,C05
89846.0,17,20.0,0.0,1.0,19.0,0.0,3.0,C05
45806.0,39,16.0,2.0,2.0,16.0,0.0,3.0,C05
14684.0,41,7.0,0.0,0.0,7.0,0.0,3.0,C05
58930.0,13,12.0,0.0,1.0,11.0,0.0,3.0,C05
45748.0,32,11.0,0.0,0.0,11.0,0.0,3.0,C05
43746.0,8,3.0,0.0,0.0,3.0,0.0,3.0,C05
47073.0,36,10.0,1.0,1.0,10.0,0.0,3.0,C05
35023.0,54,5.0,2.0,4.0,3.0,0.0,3.0,C05
53530.0,48,5.0,0.0,0.0,5.0,0.0,3.0,C05
37163.0,56,10.0,0.0,0.0,10.0,0.0,3.0,C05
33586.0,33,16.0,5.0,7.0,14.0,0.0,3.0,C05
40808.0,30,12.0,0.0,0.0,12.0,0.0,3.0,C05
54245.0,51,11.0,0.0,0.0,11.0,0.0,3.0,C05
53211.0,26,26.0,3.0,4.0,25.0,0.0,3.0,C05
45323.0,27,13.0,0.0,1.0,12.0,0.0,3.0,C05
49723.0,40,12.0,0.0,0.0,12.0,0.0,3.0,C05
28933.0,47,8.0,0.0,0.0,8.0,0.0,3.0,C05
30620.0,11,13.0,0.0,1.0,12.0,0.0,3.0,C05
42108.0,35,9.0,0.0,0.0,9.0,0.0,3.0,C05
56292.0,23,12.0,1.0,2.0,11.0,0.0,3.0,C05
32377.0,19,12.0,2.0,4.0,10.0,0.0,3.0,C05
39629.0,43,9.0,0.0,0.0,9.0,0.0,3.0,C05
41311.0,22,13.0,0.0,0.0,13.0,0.0,3.0,C05
49679.0,16,12.0,0.0,0.0,12.0,0.0,3.0,C05
32842.0,14,10.0,0.0,0.0,10.0,0.0,3.0,C05
29626.0,52,7.0,0.0,0.0,7.0,0.0,3.0,C05
20672.0,37,7.0,1.0,1.0,7.0,0.0,3.0,C05
42565.0,15,11.0,2.0,2.0,11.0,0.0,3.0,C05
23537.0,54,6.0,0.0,0.0,6.0,0.0,4.0,C05
20755.0,17,7.0,0.0,1.0,6.0,0.0,4.0,C05
49918.0,9,15.0,0.0,0.0,15.0,0.0,4.0,C05
26608.0,13,6.0,3.0,4.0,5.0,0.0,4.0,C05
55527.0,16,15.0,0.0,1.0,14.0,0.0,4.0,C05
43421.0,38,11.0,0.0,0.0,11.0,0.0,4.0,C05
17854.0,43,10.0,8.0,9.0,9.0,0.0,4.0,C05
61052.0,30,16.0,0.0,0.0,16.0,0.0,4.0,C05
48718.0,60,3.0,0.0,0.0,3.0,0.0,4.0,C05
56035.0,32,26.0,0.0,0.0,26.0,0.0,4.0,C05
33621.0,28,5.0,2.0,2.0,5.0,0.0,4.0,C05
37164.0,56,2.0,0.0,0.0,2.0,0.0,4.0,C05
53146.0,39,16.0,1.0,1.0,16.0,0.0,4.0,C05
24754.0,41,11.0,0.0,2.0,9.0,0.0,4.0,C05
32698.0,25,8.0,0.0,0.0,8.0,0.0,4.0,C05
47149.0,58,4.0,0.0,0.0,4.0,0.0,4.0,C05
49042.0,49,11.0,3.0,3.0,11.0,0.0,4.0,C05
66261.0,44,10.0,0.0,0.0,10.0,0.0,4.0,C05
27105.0,12,8.0,1.0,2.0,7.0,0.0,4.0,C05
66409.0,22,20.0,0.0,1.0,19.0,0.0,4.0,C05
26305.0,15,6.0,0.0,0.0,6.0,0.0,4.0,C05
32861.0,45,11.0,0.0,2.0,9.0,0.0,4.0,C05
26118.0,51,3.0,1.0,1.0,3.0,0.0,4.0,C05
41443.0,46,8.0,0.0,0.0,8.0,0.0,4.0,C05
41851.0,10,12.0,0.0,0.0,12.0,0.0,4.0,C05
45967.0,57,4.0,0.0,0.0,4.0,0.0,4.0,C05
61783.0,11,16.0,0.0,0.0,16.0,0.0,4.0,C05
32378.0,36,10.0,2.0,2.0,10.0,0.0,4.0,C05
33772.0,42,10.0,0.0,0.0,10.0,0.0,4.0,C05
72504.0,14,25.0,0.0,0.0,25.0,0.0,4.0,C05
33429.0,37,7.0,0.0,2.0,5.0,0.0,4.0,C05
40582.0,53,17.0,0.0,0.0,17.0,0.0,4.0,C05
30092.0,48,9.0,1.0,1.0,9.0,0.0,4.0,C05
27995.0,20,7.0,0.0,0.0,7.0,0.0,4.0,C05
59635.0,31,15.0,1.0,1.0,15.0,0.0,5.0,C05
59598.0,27,25.0,0.0,0.0,25.0,0.0,5.0,C05
65746.0,43,16.0,1.0,2.0,15.0,0.0,5.0,C05
36392.0,33,10.0,0.0,0.0,10.0,0.0,5.0,C05
81416.0,8,18.0,0.0,0.0,18.0,0.0,5.0,C05
45101.0,20,10.0,2.0,2.0,10.0,0.0,5.0,C05
56454.0,17,13.0,0.0,0.0,13.0,0.0,5.0,C05
29283.0,34,5.0,0.0,0.0,5.0,0.0,5.0,C05
74205.0,11,18.0,0.0,2.0,16.0,0.0,5.0,C05
63041.0,30,33.0,1.0,2.0,32.0,0.0,5.0,C05
54519.0,28,11.0,0.0,0.0,11.0,0.0,5.0,C05
77181.0,9,28.0,0.0,0.0,28.0,0.0,5.0,C05
55349.0,29,13.0,0.0,1.0,12.0,0.0,5.0,C05
55434.0,40,7.0,0.0,0.0,7.0,0.0,5.0,C05
47272.0,37,10.0,0.0,0.0,10.0,0.0,5.0,C05
51936.0,26,17.0,0.0,0.0,17.0,0.0,5.0,C05
59754.0,42,25.0,0.0,1.0,24.0,0.0,5.0,C05
59619.0,39,7.0,1.0,1.0,7.0,0.0,5.0,C05
62460.0,19,19.0,0.0,0.0,19.0,0.0,5.0,C05
78575.0,15,25.0,0.0,0.0,25.0,0.0,5.0,C05
36825.0,35,3.0,0.0,0.0,3.0,0.0,5.0,C05
39814.0,38,6.0,0.0,0.0,6.0,0.0,5.0,C05
94934.0,10,21.0,0.0,0.0,21.0,0.0,5.0,C05
49976.0,44,10.0,0.0,0.0,10.0,0.0,5.0,C05
41838.0,22,14.0,1.0,2.0,13.0,0.0,5.0,C05
56904.0,12,14.0,0.0,0.0,14.0,0.0,5.0,C05
57122.0,43,16.0,0.0,0.0,16.0,1.0,0.0,C05
57755.0,31,11.0,0.0,0.0,11.0,1.0,0.0,C05
59728.0,26,16.0,0.0,1.0,15.0,1.0,0.0,C05
41110.0,10,7.0,0.0,0.0,7.0,1.0,0.0,C05
70644.0,44,23.0,1.0,2.0,22.0,1.0,0.0,C05
31578.0,32,10.0,0.0,0.0,10.0,1.0,0.0,C05
38843.0,5,14.0,2.0,2.0,14.0,1.0,0.0,C05
48752.0,13,11.0,0.0,0.0,11.0,1.0,0.0,C05
69178.0,28,8.0,0.0,0.0,8.0,1.0,0.0,C05
44020.0,20,5.0,0.0,0.0,5.0,1.0,0.0,C05
45202.0,50,3.0,0.0,0.0,3.0,1.0,0.0,C05
74879.0,16,27.0,0.0,0.0,27.0,1.0,0.0,C05
17399.0,9,3.0,0.0,0.0,3.0,1.0,0.0,C05
44820.0,33,9.0,0.0,0.0,9.0,1.0,0.0,C05
43262.0,46,20.0,0.0,0.0,20.0,1.0,0.0,C05
50250.0,48,7.0,0.0,0.0,7.0,1.0,0.0,C05
34241.0,38,8.0,0.0,0.0,8.0,1.0,0.0,C05
72600.0,30,19.0,4.0,5.0,18.0,1.0,0.0,C05
