Area_of_Cytoplasm,Label,Number_of_pbodies_cytoplasm,Number_of_pbodies_in_Nucleus,Number_of_pbodies_unshrunken_Nucleus,Number_of_pbodies_unshrunken_cytoplasm,SiteX,SiteY,Well
26269.0,42,5.0,1.0,1.0,5.0,0.0,3.0,D14
30373.0,53,7.0,1.0,1.0,7.0,0.0,3.0,D14
16778.0,28,10.0,3.0,3.0,10.0,0.0,3.0,D14
31359.0,49,3.0,1.0,1.0,3.0,0.0,3.0,D14
50939.0,25,14.0,0.0,0.0,14.0,0.0,3.0,D14
42514.0,9,10.0,1.0,1.0,10.0,0.0,3.0,D14
48407.0,21,18.0,0.0,0.0,18.0,0.0,3.0,D14
89846.0,17,20.0,0.0,1.0,19.0,0.0,3.0,D14
45806.0,39,16.0,2.0,2.0,16.0,0.0,3.0,D14
14684.0,41,7.0,0.0,0.0,7.0,0.0,3.0,D14
58930.0,13,12.0,0.0,1.0,11.0,0.0,3.0,D14
45748.0,32,11.0,0.0,0.0,11.0,0.0,3.0,D14
43746.0,8,3.0,0.0,0.0,3.0,0.0,3.0,D14
47073.0,36,10.0,1.0,1.0,10.0,0.0,3.0,D14
35023.0,54,5.0,2.0,4.0,3.0,0.0,3.0,D14
53530.0,48,5.0,0.0,0.0,5.0,0.0,3.0,D14
37163.0,56,10.0,0.0,0.0,10.0,0.0,3.0,D14
33586.0,33,16.0,5.0,7.0,14.0,0.0,3.0,D14
40808.0,30,12.0,0.0,0.0,12.0,0.0,3.0,D14
54245.0,51,11.0,0.0,0.0,11.0,0.0,3.0,D14
53211.0,26,26.0,3.0,4.0,25.0,0.0,3.0,D14
45323.0,27,13.0,0.0,1.0,12.0,0.0,3.0,D14
49723.0,40,12.0,0.0,0.0,12.0,0.0,3.0,D14
28933.0,47,8.0,0.0,0.0,8.0,0.0,3.0,D14
30620.0,11,13.0,0.0,1.0,12.0,0.0,3.0,D14
42108.0,35,9.0,0.0,0.0,9.0,0.0,3.0,D14
56292.0,23,12.0,1.0,2.0,11.0,0.0,3.0,D14
32377.0,19,12.0,2.0,4.0,10.0,0.0,3.0,D14
39629.0,43,9.0,0.0,0.0,9.0,0.0,3.0,D14
41311.0,22,13.0,0.0,0.0,13.0,0.0,3.0,D14
49679.0,16,12.0,0.0,0.0,12.0,0.0,3.0,D14
32842.0,14,10.0,0.0,0.0,10.0,0.0,3.0,D14
29626.0,52,7.0,0.0,0.0,7.0,0.0,3.0,D14
20672.0,37,7.0,1.0,1.0,7.0,0.0,3.0,D14
42565.0,15,11.0,2.0,2.0,11.0,0.0,3.0,D14
23537.0,54,6.0,0.0,0.0,6.0,0.0,4.0,D14
20755.0,17,7.0,0.0,1.0,6.0,0.0,4.0,D14
49918.0,9,15.0,0.0,0.0,15.0,0.0,4.0,D14
26608.0,13,6.0,3.0,4.0,5.0,0.0,4.0,D14
55527.0,16,15.0,0.0,1.0,14.0,0.0,4.0,D14
43421.0,38,11.0,0.0,0.0,11.0,0.0,4.0,D14
17854.0,43,10.0,8.0,9.0,9.0,0.0,4.0,D14
61052.0,30,16.0,0.0,0.0,16.0,0.0,4.0,D14
48718.0,60,3.0,0.0,0.0,3.0,0.0,4.0,D14
56035.0,32,26.0,0.0,0.0,26.0,0.0,4.0,D14
33621.0,28,5.0,2.0,2.0,5.0,0.0,4.0,D14
37164.0,56,2.0,0.0,0.0,2.0,0.0,4.0,D14
53146.0,39,16.0,1.0,1.0,16.0,0.0,4.0,D14
24754.0,41,11.0,0.0,2.0,9.0,0.0,4.0,D14
32698.0,25,8.0,0.0,0.0,8.0,0.0,4.0,D14
47149.0,58,4.0,0.0,0.0,4.0,0.0,4.0,D14
49042.0,49,11.0,3.0,3.0,11.0,0.0,4.0,D14
66261.0,44,10.0,0.0,0.0,10.0,0.0,4.0,D14
27105.0,12,8.0,1.0,2.0,7.0,0.0,4.0,D14
66409.0,22,20.0,0.0,1.0,19.0,0.0,4.0,D14
26305.0,15,6.0,0.0,0.0,6.0,0.0,4.0,D14
32861.0,45,11.0,0.0,2.0,9.0,0.0,4.0,D14
26118.0,51,3.0,1.0,1.0,3.0,0.0,4.0,D14
41443.0,46,8.0,0.0,0.0,8.0,0.0,4.0,D14
41851.0,10,12.0,0.0,0.0,12.0,0.0,4.0,D14
45967.0,57,4.0,0.0,0.0,4.0,0.0,4.0,D14
61783.0,11,16.0,0.0,0.0,16.0,0.0,4.0,D14
32378.0,36,10.0,2.0,2.0,10.0,0.0,4.0,D14
33772.0,42,10.0,0.0,0.0,10.0,0.0,4.0,D14
72504.0,14,25.0,0.0,0.0,25.0,0.0,4.0,D14
33429.0,37,7.0,0.0,2.0,5.0,0.0,4.0,D14
40582.0,53,17.0,0.0,0.0,17.0,0.0,4.0,D14
30092.0,48,9.0,1.0,1.0,9.0,0.0,4.0,D14
27995.0,20,7.0,0.0,0.0,7.0,0.0,4.0,D14
59635.0,31,15.0,1.0,1.0,15.0,0.0,5.0,D14
59598.0,27,25.0,0.0,0.0,25.0,0.0,5.0,D14
65746.0,43,16.0,1.0,2.0,15.0,0.0,5.0,D14
36392.0,33,10.0,0.0,0.0,10.0,0.0,5.0,D14
81416.0,8,18.0,0.0,0.0,18.0,0.0,5.0,D14
45101.0,20,10.0,2.0,2.0,10.0,0.0,5.0,D14
56454.0,17,13.0,0.0,0.0,13.0,0.0,5.0,D14
29283.0,34,5.0,0.0,0.0,5.0,0.0,5.0,D14
74205.0,11,18.0,0.0,2.0,16.0,0.0,5.0,D14
63041.0,30,33.0,1.0,2.0,32.0,0.0,5.0,D14
54519.0,28,11.0,0.0,0.0,11.0,0.0,5.0,D14
77181.0,9,28.0,0.0,0.0,28.0,0.0,5.0,D14
55349.0,29,13.0,0.0,1.0,12.0,0.0,5.0,D14
55434.0,40,7.0,0.0,0.0,7.0,0.0,5.0,D14
47272.0,37,10.0,0.0,0.0,10.0,0.0,5.0,D14
51936.0,26,17.0,0.0,0.0,17.0,0.0,5.0,D14
59754.0,42,25.0,0.0,1.0,24.0,0.0,5.0,D14
59619.0,39,7.0,1.0,1.0,7.0,0.0,5.0,D14
62460.0,19,19.0,0.0,0.0,19.0,0.0,5.0,D14
78575.0,15,25.0,0.0,0.0,25.0,0.0,5.0,D14
36825.0,35,3.0,0.0,0.0,3.0,0.0,5.0,D14
39814.0,38,6.0,0.0,0.0,6.0,0.0,5.0,D14
94934.0,10,21.0,0.0,0.0,21.0,0.0,5.0,D14
49976.0,44,10.0,0.0,0.0,10.0,0.0,5.0,D14
41838.0,22,14.0,1.0,2.0,13.0,0.0,5.0,D14
56904.0,12,14.0,0.0,0.0,14.0,0.0,5.0,D14
57122.0,43,16.0,0.0,0.0,16.0,1.0,0.0,D14
57755.0,31,11.0,0.0,0.0,11.0,1.0,0.0,D14
59728.0,26,16.0,0.0,1.0,15.0,1.0,0.0,D14
41110.0,10,7.0,0.0,0.0,7.0,1.0,0.0,D14
70644.0,44,23.0,1.0,2.0,22.0,1.0,0.0,D14
31578.0,32,10.0,0.0,0.0,10.0,1.0,0.0,D14
38843.0,5,14.0,2.0,2.0,14.0,1.0,0.0,D14
48752.0,13,11.0,0.0,0.0,11.0,1.0,0.0,D14
69178.0,28,8.0,0.0,0.0,8.0,1.0,0.0,D14
44020.0,20,5.0,0.0,0.0,5.0,1.0,0.0,D14
45202.0,50,3.0,0.0,0.0,3.0,1.0,0.0,D14
74879.0,16,27.0,0.0,0.0,27.0,1.0,0.0,D14
17399.0,9,3.0,0.0,0.0,3.0,1.0,0.0,D14
44820.0,33,9.0,0.0,0.0,9.0,1.0,0.0,D14
43262.0,46,20.0,0.0,0.0,20.0,1.0,0.0,D14
50250.0,48,7.0,0.0,0.0,7.0,1.0,0.0,D14
34241.0,38,8.0,0.0,0.0,8.0,1.0,0.0,D14
72600.0,30,19.0,4.0,5.0,18.0,1.0,0.0,D14
57056.0,8,15.0,1.0,1.0,15.0,1.0,0.0,D14
60974.0,24,13.0,0.0,0.0,13.0,1.0,0.0,D14
47472.0,45,2.0,0.0,0.0,2.0,1.0,0.0,D14
45029.0,21,13.0,0.0,0.0,13.0,1.0,0.0,D14
51855.0,42,17.0,0.0,1.0,16.0,1.0,0.0,D14
25231.0,22,4.0,2.0,2.0,4.0,1.0,0.0,D14
69577.0,49,15.0,1.0,1.0,15.0,1.0,0.0,D14
27300.0,6,3.0,0.0,0.0,3.0,1.0,0.0,D14
53388.0,12,21.0,0.0,0.0,21.0,1.0,0.0,D14
107235.0,8,6.0,1.0,1.0,6.0,1.0,1.0,D14
54365.0,9,25.0,2.0,3.0,24.0,1.0,1.0,D14
36928.0,14,16.0,2.0,3.0,15.0,1.0,1.0,D14
81191.0,19,28.0,0.0,0.0,28.0,1.0,1.0,D14
69649.0,11,14.0,0.0,2.0,12.0,1.0,1.0,D14
126217.0,12,11.0,0.0,1.0,10.0,1.0,1.0,D14
88022.0,21,12.0,0.0,0.0,12.0,1.0,1.0,D14
59597.0,15,8.0,0.0,0.0,8.0,1.0,1.0,D14
89794.0,18,19.0,0.0,1.0,18.0,1.0,1.0,D14
55349.0,5,19.0,1.0,2.0,18.0,1.0,1.0,D14
99832.0,23,15.0,0.0,0.0,15.0,1.0,1.0,D14
54867.0,34,12.0,1.0,1.0,12.0,1.0,2.0,D14
48208.0,9,14.0,0.0,0.0,14.0,1.0,2.0,D14
55908.0,18,19.0,0.0,0.0,19.0,1.0,2.0,D14
98246.0,6,25.0,1.0,1.0,25.0,1.0,2.0,D14
20634.0,16,2.0,0.0,0.0,2.0,1.0,2.0,D14
66660.0,32,21.0,1.0,1.0,21.0,1.0,2.0,D14
26591.0,17,4.0,0.0,0.0,4.0,1.0,2.0,D14
46751.0,20,7.0,0.0,0.0,7.0,1.0,2.0,D14
68705.0,27,9.0,0.0,0.0,9.0,1.0,2.0,D14
54958.0,30,19.0,0.0,1.0,18.0,1.0,2.0,D14
79238.0,7,26.0,1.0,2.0,25.0,1.0,2.0,D14
45487.0,26,4.0,0.0,0.0,4.0,1.0,2.0,D14
66637.0,14,23.0,0.0,0.0,23.0,1.0,2.0,D14
51796.0,35,8.0,0.0,1.0,7.0,1.0,2.0,D14
50161.0,22,17.0,1.0,1.0,17.0,1.0,2.0,D14
39526.0,28,16.0,2.0,2.0,16.0,1.0,2.0,D14
66274.0,19,40.0,2.0,2.0,40.0,1.0,2.0,D14
56185.0,36,25.0,1.0,1.0,25.0,1.0,2.0,D14
59618.0,10,16.0,0.0,0.0,16.0,1.0,2.0,D14
55094.0,15,14.0,1.0,1.0,14.0,1.0,2.0,D14
69949.0,37,36.0,1.0,1.0,36.0,1.0,2.0,D14
52334.0,14,24.0,0.0,1.0,23.0,1.0,3.0,D14
64268.0,8,28.0,0.0,1.0,27.0,1.0,3.0,D14
97392.0,10,22.0,0.0,0.0,22.0,1.0,3.0,D14
77680.0,6,22.0,0.0,0.0,22.0,1.0,3.0,D14
45223.0,18,13.0,0.0,1.0,12.0,1.0,3.0,D14
50095.0,15,18.0,0.0,1.0,17.0,1.0,3.0,D14
